fold,test_slice,gap_lo,gap_hi,n_picks,n_trades_executed,irr_pct,sharpe,max_drawdown_pct,hit_rate_pct,avg_trade_pnl_pct,mean_arith_pnl_pct,hit_pct_per_pick,frac_random_exceeded_sharpe,frac_random_exceeded_irr,auc_test,ap_test,selected_gamma,gap_name
1,2024-06-30->2024-12-31,-0.15,-0.02,9,7,17.179010820839412,1.3117492844111573,-4.360749448847601,71.42857142857143,1.5059414430374412,0.15653116457582145,55.55555555555556,0.9,0.89,0.6478443009251178,0.24161058966136684,10,"[-15,-2]"
1,2024-06-30->2024-12-31,-0.2,-0.02,9,7,17.179010820839412,1.3117492844111573,-4.360749448847601,71.42857142857143,1.5059414430374412,0.15653116457582145,55.55555555555556,0.9,0.89,0.6478443009251178,0.24161058966136684,10,"[-20,-2]"
1,2024-06-30->2024-12-31,-0.12,-0.02,9,7,17.179010820839412,1.3117492844111573,-4.360749448847601,71.42857142857143,1.5059414430374412,0.15653116457582145,55.55555555555556,0.9,0.89,0.6478443009251178,0.24161058966136684,10,"[-12,-2]"
1,2024-06-30->2024-12-31,-0.15,-0.03,6,6,11.983657086942422,1.0231636469847234,-3.314497350726653,66.66666666666666,1.1777573150902019,1.3238708132101809,66.66666666666666,0.88,0.79,0.6478443009251178,0.24161058966136684,10,"[-15,-3]"
1,2024-06-30->2024-12-31,-0.1,-0.02,9,7,17.179010820839412,1.3117492844111573,-4.360749448847601,71.42857142857143,1.5059414430374412,0.15653116457582145,55.55555555555556,0.9,0.89,0.6478443009251178,0.24161058966136684,10,"[-10,-2]"
1,2024-06-30->2024-12-31,-0.1,-0.03,6,6,11.983657086942422,1.0231636469847234,-3.314497350726653,66.66666666666666,1.1777573150902019,1.3238708132101809,66.66666666666666,0.88,0.79,0.6478443009251178,0.24161058966136684,10,"[-10,-3]"
2,2024-12-31->2025-06-30,-0.15,-0.02,6,6,11.023731804639958,1.3095870703016106,-3.149327675593794,66.66666666666666,2.082154234121671,2.2776273070548023,66.66666666666666,0.92,0.61,0.5848426968758919,0.14632933517726682,5,"[-15,-2]"
2,2024-12-31->2025-06-30,-0.2,-0.02,9,9,12.517590512607658,1.291206936007135,-3.149327675593794,66.66666666666666,2.0825981051262383,2.2504465636366744,66.66666666666666,0.91,0.69,0.5848426968758919,0.14632933517726682,5,"[-20,-2]"
2,2024-12-31->2025-06-30,-0.12,-0.02,6,6,11.023731804639958,1.3095870703016106,-3.149327675593794,66.66666666666666,2.082154234121671,2.2776273070548023,66.66666666666666,0.92,0.61,0.5848426968758919,0.14632933517726682,5,"[-12,-2]"
2,2024-12-31->2025-06-30,-0.15,-0.03,4,4,-1.5245134506736036,-0.24394057493190727,-2.7762366557076867,50.0,-0.4453744366384099,-0.3077821736624062,50.0,0.31000000000000005,0.36,0.5848426968758919,0.14632933517726682,5,"[-15,-3]"
2,2024-12-31->2025-06-30,-0.1,-0.02,6,6,11.023731804639958,1.3095870703016106,-3.149327675593794,66.66666666666666,2.082154234121671,2.2776273070548023,66.66666666666666,0.92,0.61,0.5848426968758919,0.14632933517726682,5,"[-10,-2]"
2,2024-12-31->2025-06-30,-0.1,-0.03,4,4,-1.5245134506736036,-0.24394057493190727,-2.7762366557076867,50.0,-0.4453744366384099,-0.3077821736624062,50.0,0.31000000000000005,0.36,0.5848426968758919,0.14632933517726682,5,"[-10,-3]"
