fold,train_end,sweep_end,test_end,selected_hp_reason,test_n_trades,test_irr_pct,test_sharpe,test_max_dd_pct,test_hit_pct,test_avg_pnl_pct,test_auc,test_ap,random_mean_irr,random_mean_sharpe,random_mean_max_dd,frac_random_exceeded_sharpe,frac_random_exceeded_irr,n_random_trials,sel_gamma,sel_mcw,sel_md,sel_n_est
1,2023-12-31,2024-06-30,2024-12-31,"best sweep_val_pnl (n=39, pnl=+3.336%)",16,-2.6234303335580744,-0.15029380606128023,-9.72345380275459,62.5,-0.21055917135104352,0.6788929835970807,0.2671455144912838,1.325659589870958,0.013994055932087992,-9.128773771170708,0.62,0.63,100,3,50,3,300
2,2024-06-30,2024-12-31,2025-06-30,"best sweep_val_pnl (n=38, pnl=+2.100%)",19,-6.477691601748314,-0.401559999622976,-14.186623736173576,52.63157894736842,-0.3617814203847214,0.6477882621921683,0.20148532556103663,-0.3041547666373745,-0.03487715231677184,-13.731444443255803,0.69,0.66,100,5,50,3,300
3,2024-12-31,2025-06-30,2025-12-31,"best sweep_val_pnl (n=27, pnl=+0.097%)",18,-5.290648785016305,-0.3679840783188277,-16.968744254529856,33.33333333333333,-0.3812229111792298,0.6424119355839467,0.23269678812773076,4.047341947742358,0.20560801806368004,-9.348613000101686,0.69,0.7,100,5,50,3,300
4,2025-06-30,2025-12-31,2026-06-30,"best sweep_val_pnl (n=37, pnl=+0.503%)",14,-0.6460573301973582,-0.05350125610091774,-12.541568111159107,42.857142857142854,0.06360840837908761,0.676935006344283,0.242775317319472,-5.083890463877474,-0.39650307422541714,-13.114262000929662,0.35,0.34,100,3,50,3,300
