fold,rule,test_slice,n_trades_executed,irr_pct,sharpe_liq_annualized,max_drawdown_pct,hit_rate_pct,avg_trade_pnl_pct,frac_random_exceeded_sharpe,frac_random_exceeded_irr,mean_arith_pnl_pct
1,POS_only,2024-06-30->2024-12-31,14,49.72995754839786,3.306492990597321,-3.3078952594833178,78.57142857142857,4.307271698509444,1.0,0.99,2.4900666139469667
1,NEG_only,2024-06-30->2024-12-31,14,-1.335009723291758,-0.08806021204726118,-8.081183541630587,64.28571428571429,-0.04759665187736771,0.51,0.51,-0.9769915662250106
1,UNION_equal,2024-06-30->2024-12-31,18,42.67372812517727,2.645043126642221,-4.530194842624857,72.22222222222221,2.947232273157889,0.99,0.98,1.790005979135623
1,UNION_split,2024-06-30->2024-12-31,20,-2.0184848858239013,-0.1306319939669379,-9.760612828532022,50.0,-0.03424314333178191,0.48,0.48,0.8432139783652775
2,POS_only,2024-12-31->2025-06-30,17,-13.322830662490048,-0.6297973226319873,-20.27261787427477,41.17647058823529,-1.2954246200068524,0.16000000000000003,0.15000000000000002,-0.9440250332085712
2,NEG_only,2024-12-31->2025-06-30,11,14.309125989641846,1.2003844882562353,-5.844381318291414,63.63636363636363,1.9904767543630524,0.9,0.72,2.164878913390977
2,UNION_equal,2024-12-31->2025-06-30,17,-12.252161233558112,-0.5546881294526179,-22.800738840618862,47.05882352941176,-1.1548975787163531,0.17000000000000004,0.16000000000000003,-0.22810229092782175
2,UNION_split,2024-12-31->2025-06-30,20,-8.012537581533497,-0.34081550006575684,-22.913909854246473,55.00000000000001,-0.6251181856857091,0.26,0.24,0.35135161120790737
3,POS_only,2025-06-30->2025-12-31,15,-5.592434629352749,-0.37401399797221674,-9.624430248444982,26.666666666666668,-0.4711381668292643,0.35,0.32999999999999996,-0.5287845306615928
3,NEG_only,2025-06-30->2025-12-31,14,22.238715968723,1.4046010432259028,-7.215575055590662,42.857142857142854,2.3573143764119524,0.91,0.91,3.0415773949433973
3,UNION_equal,2025-06-30->2025-12-31,15,10.555688766942284,0.7423580548234396,-8.868020481355499,40.0,1.2047689232318581,0.77,0.74,0.49405940860308617
3,UNION_split,2025-06-30->2025-12-31,20,11.734338866936934,0.6618197570316455,-10.90519920266859,35.0,1.2178461153624498,0.73,0.78,0.9285060512179949
4,POS_only,2025-12-31->2026-06-30,15,21.415419712341176,1.1261715519693256,-8.260167833047284,73.33333333333333,2.0008861433624245,0.8200000000000001,0.8200000000000001,2.3299322300798746
4,NEG_only,2025-12-31->2026-06-30,13,22.2464865716804,1.5396219083399134,-6.629365476816984,61.53846153846154,2.4977805815223486,0.89,0.83,2.845606673598274
4,UNION_equal,2025-12-31->2026-06-30,16,26.5117129068962,1.329998692850267,-8.323495186454089,75.0,2.29961554198559,0.86,0.86,2.210093476173881
4,UNION_split,2025-12-31->2026-06-30,18,47.547512056300164,1.8581744589901514,-11.442538953658099,72.22222222222221,3.489481782600269,0.95,0.95,2.5298876265461923
