date,day_idx,cash,n_open_positions,realized_dollars_so_far,nav,log_ret
2025-01-17,3394,75000.0,1,0.0,100000.0,0.0
2025-01-21,3395,75000.0,1,0.0,100922.45153220401,0.009182229326862107
2025-01-22,3396,75000.0,1,0.0,101339.37877839291,0.004122654640929793
2025-01-23,3397,75000.0,1,0.0,101563.47717320842,0.002208923919632393
2025-01-24,3398,75000.0,1,0.0,101511.3612674348,-0.0005132679884710673
2025-01-27,3399,75000.0,1,0.0,101542.6308108769,0.00030799240506666233
2025-01-28,3400,75000.0,1,0.0,101667.70898475565,0.0012310219037081286
2025-01-29,3401,75000.0,1,0.0,101526.99603915584,-0.0013850062488262845
2025-01-30,3402,75000.0,1,0.0,101318.5324160614,-0.0020553935605321927
2025-01-31,3403,75000.0,1,0.0,101511.3612674348,0.0019013855005837663
2025-02-03,3404,100870.3356264304,0,0.0,100870.3356264304,-0.006334839509186914
2025-02-04,3405,100870.3356264304,0,0.0,100870.3356264304,0.0
2025-02-05,3406,50435.1678132152,2,0.0,100870.3356264304,0.0
2025-02-06,3407,25322.93568869173,3,0.0,100448.92849809388,-0.004186462191289837
2025-02-07,3408,340.59070479717775,4,0.0,99929.37993557822,-0.0051856883198300695
2025-02-10,3409,340.59070479717775,4,0.0,99859.78299422935,-0.0006967038966823817
2025-02-11,3410,340.59070479717775,4,0.0,98310.67700819766,-0.015634394151729344
2025-02-12,3411,340.59070479717775,4,0.0,97942.10806211256,-0.0037560677599408903
2025-02-13,3412,340.59070479717775,4,0.0,97579.40109439442,-0.003710153275157166
2025-02-14,3413,340.59070479717775,4,0.0,99878.63390872467,0.023289371209265018
2025-02-18,3414,340.59070479717775,4,0.0,99781.03482042172,-0.0009776545929183094
2025-02-19,3415,340.59070479717775,4,0.0,99260.06791870031,-0.0052347789900577145
2025-02-20,3416,50527.80845880335,2,0.0,98988.43787397737,-0.002740300247054996
2025-02-21,3417,73537.48553594771,1,0.0,98315.16903716678,-0.00682472520982951
2025-02-24,3418,97414.65851343198,0,0.0,97414.65851343198,-0.00920163154332671
2025-02-25,3419,97414.65851343198,0,0.0,97414.65851343198,0.0
2025-02-26,3420,73060.99388507399,1,0.0,97414.65851343198,0.0
2025-02-27,3421,73060.99388507399,1,0.0,97656.1291012105,0.0024757239570985345
2025-02-28,3422,73060.99388507399,1,0.0,97104.74973767344,-0.005662131326506501
2025-03-03,3423,73060.99388507399,1,0.0,97436.6103850482,0.003411726627867881
2025-03-04,3424,73060.99388507399,1,0.0,97676.78968626107,0.002461946974828972
2025-03-05,3425,73060.99388507399,1,0.0,96750.93721868246,-0.009523944764816827
2025-03-06,3426,73060.99388507399,1,0.0,97103.45845110778,0.0036369732013619986
2025-03-07,3427,73060.99388507399,1,0.0,95737.27726463892,-0.014169247367728394
2025-03-10,3428,73060.99388507399,1,0.0,95596.52702898192,-0.0014712534626640935
2025-03-11,3429,73060.99388507399,1,0.0,94425.3301139278,-0.012327126612623116
2025-03-12,3430,94711.99573150444,0,0.0,94711.99573150444,0.0030312984050497515
2025-03-13,3431,94711.99573150444,0,0.0,94711.99573150444,0.0
2025-03-14,3432,94711.99573150444,0,0.0,94711.99573150444,0.0
2025-03-17,3433,94711.99573150444,0,0.0,94711.99573150444,0.0
2025-03-18,3434,94711.99573150444,0,0.0,94711.99573150444,0.0
2025-03-19,3435,94711.99573150444,0,0.0,94711.99573150444,0.0
2025-03-20,3436,94711.99573150444,0,0.0,94711.99573150444,0.0
2025-03-21,3437,94711.99573150444,0,0.0,94711.99573150444,0.0
2025-03-24,3438,94711.99573150444,0,0.0,94711.99573150444,0.0
2025-03-25,3439,94711.99573150444,0,0.0,94711.99573150444,0.0
