trial,seed,n_trades,irr,sharpe,max_dd,hit_pct,avg_pnl_pct
0,100,66,4.074837766352268,0.2591283658352845,-18.911414603782173,56.060606060606055,0.4745161667631574
1,107,66,-5.153207017962147,-0.3310536138397275,-21.55427411619438,46.96969696969697,-0.38720547521200566
2,114,66,-5.909252659286945,-0.32283478430446594,-23.357785229173643,56.060606060606055,-0.39891529187890473
3,121,66,-3.79276992286961,-0.2239298713278012,-20.083009323874567,50.0,-0.25804414946961063
4,128,66,-15.383307578965177,-1.0684156011923878,-28.578315984068205,43.93939393939394,-1.3891203654698587
5,135,66,1.2149914095595848,0.0768593731350511,-14.895641512290968,53.03030303030303,0.19489503298600988
6,142,66,-1.753888531486858,-0.11786495766768573,-15.002506571493567,54.54545454545454,-0.06048579538286884
7,149,66,-6.689189659479022,-0.4188715348358726,-17.817341121689324,51.515151515151516,-0.5465927186044858
8,156,66,-1.3333749140953643,-0.0843461454382931,-19.260156368297686,51.515151515151516,-0.03487978463834448
9,163,66,-17.520957563717342,-1.3128150437250494,-28.02264967267416,48.484848484848484,-1.630867796801711
10,170,66,9.502268428970439,0.5806505303225411,-15.856842227056445,59.09090909090909,0.9225073175927307
11,177,66,13.360326961883672,0.7151762971496223,-8.807519184961809,48.484848484848484,1.2414092411041164
12,184,66,10.301801731481476,0.5412602031314419,-11.30869748597264,50.0,1.0215737245620093
13,191,66,5.73471602668667,0.380837829155207,-12.640633151264147,56.060606060606055,0.5680253296303835
14,198,66,29.2077673301508,1.5869907657062714,-13.4115456139149,69.6969696969697,2.4440443931073363
15,205,66,2.2529503543719853,0.13181286866932143,-27.797506191599865,62.121212121212125,0.36197960244040595
16,212,66,1.0527823409835824,0.06357815006964673,-13.828518163910974,51.515151515151516,0.19045394733496654
17,219,66,7.656351285800378,0.47579315729340177,-13.311339247302511,54.54545454545454,0.73677106659854
18,226,66,1.4832205312478752,0.0852673557116159,-19.81056968351602,53.03030303030303,0.26786756500347186
19,233,66,2.5172593347045913,0.1556536827237976,-18.169571218937275,56.060606060606055,0.313502714253994
20,240,66,14.571972758525508,0.9106776432890792,-12.568314189036112,59.09090909090909,1.2756095081898697
21,247,66,-9.902507955515139,-0.5636304886733715,-28.94013654276717,51.515151515151516,-0.8130923953330036
22,254,66,5.679795189220882,0.34177559325067286,-14.576500835912487,57.57575757575758,0.5926417969288105
23,261,66,-4.5841484142506665,-0.2756254749544573,-17.45130284954486,51.515151515151516,-0.34137709584407605
24,268,66,2.6620275346537436,0.18978169453729862,-16.276927175964428,48.484848484848484,0.3401376290860813
25,275,66,-7.961336727573642,-0.5034966328807076,-18.400646321364057,56.060606060606055,-0.6339085190692367
26,282,66,4.693264374603778,0.2878017694598332,-11.8754977864731,48.484848484848484,0.5066790124581987
27,289,66,5.504659730230799,0.2841607271332106,-14.362851258279308,59.09090909090909,0.6061708757422213
28,296,66,1.693170293135604,0.10243592402867874,-17.441987923039616,56.060606060606055,0.2568861693455239
29,303,66,3.325121143933907,0.21402681147941288,-8.152110965961878,59.09090909090909,0.3473543742319761
30,310,66,2.8824736490146385,0.1735505544373636,-19.70299456115593,51.515151515151516,0.3941019722459044
31,317,66,-1.8354674919340952,-0.12396190719859213,-13.941796258966177,48.484848484848484,-0.10801031219019369
32,324,66,3.695507802919651,0.2254862610722005,-12.290262163954624,63.63636363636363,0.3969793451100463
33,331,66,5.348261865231629,0.290221050268567,-10.752191541987944,57.57575757575758,0.56386003400501
34,338,66,-10.146772442251395,-0.5892736378459215,-23.190102656370783,45.45454545454545,-0.8745605565128618
35,345,66,21.304063489161116,1.1701443768792026,-9.414448998926128,63.63636363636363,1.8013574291547028
36,352,66,-0.5149685883310884,-0.03394350638203496,-12.950917326327671,51.515151515151516,0.0830343342457158
37,359,66,-4.830294364442267,-0.2713982875153224,-16.446897901527723,54.54545454545454,-0.3497202703943685
38,366,66,-15.199062270715535,-0.8703774087812597,-31.073828043420992,48.484848484848484,-1.3312426087339344
39,373,66,5.920829601337374,0.3428502764496195,-19.523264345540202,50.0,0.6433791465650651
40,380,66,-1.2551066536318323,-0.0700260913538515,-13.159720968466548,56.060606060606055,-0.013230499339151946
41,387,66,-9.803623982582788,-0.5716017141326568,-23.74469454197904,46.96969696969697,-0.8598184615856495
42,394,66,5.362535458649553,0.3331749227342892,-12.03648841401277,57.57575757575758,0.5805001455600417
43,401,66,4.556132611465924,0.251803205609063,-20.76985514445867,53.03030303030303,0.5125951695871623
44,408,66,-0.2153392120497255,-0.013306371805055683,-14.282357186872453,43.93939393939394,0.06778310813287779
45,415,66,9.507685102566231,0.5297060441614954,-18.562168408960854,53.03030303030303,0.9108311136848586
46,422,66,-13.228046728052355,-1.0181078116975089,-22.63909982663114,51.515151515151516,-1.177923719543337
47,429,66,-7.710914999784146,-0.5301139424996115,-18.39056982930032,46.96969696969697,-0.6545676013613269
48,436,66,-0.9430960451487502,-0.05241761823058257,-21.773396685530532,54.54545454545454,0.0751085925173256
49,443,66,-0.04357572163239398,-0.0022254144486175314,-30.300427017448005,45.45454545454545,0.14022886605774706
50,450,66,-2.0741077687592813,-0.14053278935810018,-22.674567295682525,53.03030303030303,-0.09564445554642258
51,457,66,-3.5069905857333494,-0.21401531617802916,-12.444018853325023,50.0,-0.23250495906302449
52,464,66,-11.877505537984412,-0.7227668346920988,-23.37437424984956,51.515151515151516,-0.9717927045013236
53,471,66,2.7121213570350466,0.1617195906728838,-13.219025958030993,57.57575757575758,0.36069422485372044
54,478,66,-3.2991790997695447,-0.1918572968395423,-23.644378083145156,51.515151515151516,-0.16523351011180967
55,485,66,3.4182523107007423,0.19185260210141705,-16.092881602729857,57.57575757575758,0.3958867189438508
56,492,66,2.3757232853431454,0.15772317049754309,-12.2628501009588,54.54545454545454,0.28578219432910607
57,499,66,7.942489437183919,0.47967162480124886,-19.558143369064908,56.060606060606055,0.8092143432193515
58,506,66,-1.5295219459595333,-0.0814956873355133,-21.768868417290264,46.96969696969697,-0.010027728215881025
59,513,66,13.870450695575487,0.8218153537302925,-15.555761257132305,54.54545454545454,1.2809992137292143
60,520,66,0.06127848788981538,0.003222179627014294,-17.978380764814784,53.03030303030303,0.1391574603021937
61,527,66,-7.234169744646901,-0.4950885273013856,-16.214299946746657,48.484848484848484,-0.5818047786412154
62,534,66,-1.4326155510760774,-0.08240345525316017,-18.800224578097747,50.0,-0.009094840013242697
63,541,66,-2.705393168147774,-0.17245208082490535,-19.830567424379673,53.03030303030303,-0.15144505438224673
64,548,66,6.71376288412362,0.4303531647448313,-19.81360039038472,53.03030303030303,0.7081769345568805
65,555,66,-0.34717307864262636,-0.02088059782987515,-15.669048934576535,56.060606060606055,0.10444916470418958
66,562,66,0.9966783399963042,0.055498049018681585,-15.701017739320733,50.0,0.17994495238108382
67,569,66,-14.250605347214018,-0.9748493612864536,-25.293166201918293,50.0,-1.272541074880585
68,576,66,-6.898737702338742,-0.4197918444938829,-31.677154606843082,48.484848484848484,-0.5377730403673688
69,583,66,-2.165166315373457,-0.12602764242354655,-16.172065673240432,54.54545454545454,-0.07575440814636714
70,590,66,5.0912179095064625,0.27203232156552154,-15.829977509827554,59.09090909090909,0.5888174373795871
71,597,66,-15.108346018433682,-1.0945993552498101,-24.338111128518502,45.45454545454545,-1.3600306925500774
72,604,66,15.155178096456456,0.8824952391101184,-17.060067731939775,60.60606060606061,1.374701090370883
73,611,66,-1.390076339630708,-0.08220568018724134,-16.74633112205465,46.96969696969697,0.02122257402015249
74,618,66,16.87889079967404,0.8679757587900521,-15.439446476156471,71.21212121212122,1.5049069738383407
75,625,66,0.4454978759537376,0.021899263215650264,-18.22435853943507,54.54545454545454,0.19305533259113128
76,632,66,-10.565016104291757,-0.7318239186128416,-18.798456125709883,43.93939393939394,-0.91814763734506
77,639,66,4.690845780206332,0.27545134645018843,-18.372194208429715,50.0,0.5139514474306952
78,646,66,-8.879207562520829,-0.5656262779920969,-21.2434669859323,51.515151515151516,-0.7224688722187669
79,653,66,-8.172471011384086,-0.46716363465587885,-17.108621894608866,48.484848484848484,-0.6639760188718267
80,660,66,6.51391079087229,0.3699512422811618,-15.841808796036695,60.60606060606061,0.6921265408926036
81,667,66,-6.334569107607457,-0.43890157455628154,-15.87455906842684,50.0,-0.48439328679407345
82,674,66,16.085886269534953,1.016389307577973,-10.029230883036611,59.09090909090909,1.4179641557214162
83,681,66,0.035775642454716206,0.0020375036169767505,-14.149139438079562,51.515151515151516,0.10599103566068489
84,688,66,-9.504954487163463,-0.6391920224511706,-17.732651294212666,50.0,-0.8061537270574002
85,695,66,-2.9679330930736714,-0.17763250001500874,-17.562383516407507,46.96969696969697,-0.14512561948268937
86,702,66,5.792452912103396,0.37425771448893413,-14.615134562118758,56.060606060606055,0.5562217733201179
87,709,66,-13.424615461294398,-0.8786097662059742,-21.186587917611067,45.45454545454545,-1.205799990862521
88,716,66,-9.956253732542109,-0.5723777423278417,-23.474863712547645,46.96969696969697,-0.7987819197017975
89,723,66,-12.62013840207259,-0.7334892886257791,-29.68734861225212,48.484848484848484,-1.040002271424701
90,730,66,-13.296128727815349,-0.7815278311712606,-25.178969474534753,43.93939393939394,-1.1576661883462234
91,737,66,5.679983354909135,0.32801838052492455,-10.427747840414636,56.060606060606055,0.570101654887118
92,744,66,-12.352170098625548,-0.7346281032141908,-21.2224636073994,43.93939393939394,-1.0533581656932947
93,751,66,-3.0847353652374676,-0.1765391381308844,-27.21005121494575,43.93939393939394,-0.17167117554288444
94,758,66,14.179462156182732,0.7418678657331258,-11.741458583422038,53.03030303030303,1.3527904167643685
95,765,66,11.219559798184031,0.6212661991251501,-16.188018604521716,51.515151515151516,1.0468272866421993
96,772,66,0.43605179855839005,0.025803878146742606,-17.456015411670332,50.0,0.18348084176963128
97,779,66,13.759855862855641,0.8895098874463327,-11.715716579199897,66.66666666666666,1.2761276158054273
98,786,66,-10.084173357096493,-0.5554250887198409,-24.088018383745226,50.0,-0.8670916114057033
