trade_id,permaTicker,entry_date,exit_date,calendar_week_group,allocated_dollars,entry_nav,realized_arith_pct,pnl_dollars,n_open_at_entry
0,US000000072118,2025-01-17,2025-02-03,2025-W03,25000.0,100000.0,0.03481342505721585,870.3356264303964,0
1,US000000001406,2025-02-05,2025-02-20,2025-W06,25217.5839066076,100870.3356264304,-0.006249999999999978,-157.60989941629694,1
2,US000000002772,2025-02-05,2025-02-20,2025-W06,25217.5839066076,100870.3356264304,-0.0035824272510525113,-90.34015979273431,1
3,US000000006411,2025-02-06,2025-02-21,2025-W06,25112.23212452347,100448.92849809388,-0.08372633053697598,-2102.5550473791186,0
4,US000000005851,2025-02-07,2025-02-24,2025-W06,24982.344983894553,99929.37993557821,-0.04423812124613424,-1105.1720064102808,0
5,US000000000960,2025-02-26,2025-03-12,2025-W09,24353.664628357994,97414.65851343198,-0.11097560975609755,-2702.662781927533,0
6,US000000001713,2025-04-25,2025-05-09,2025-W17,23677.99893287611,94711.99573150444,0.12955844155833707,3067.684640963397,0
7,US000000005131,2025-04-29,2025-05-13,2025-W18,23822.52697831032,95290.10791324129,0.03527786632684893,840.4079223085838,0
8,US000000008504,2025-05-02,2025-05-16,2025-W18,24312.720848673387,97250.88339469355,0.0,0.0,0
9,US000000011306,2025-05-08,2025-05-22,2025-W19,22898.74897164462,98406.93519067785,0.007682458386810698,175.91868608468405,0
10,US000000001863,2025-06-04,2025-06-18,2025-W23,24699.00174521528,98796.00698086112,-0.0006479044340959028,-16.00259274846742,1
11,US000000009724,2025-06-04,2025-06-18,2025-W23,24699.00174521528,98796.00698086112,-0.08993576017130622,-2221.323497428355,1
12,US000000001239,2025-06-10,2025-06-25,2025-W24,24908.858997646475,99635.4359905859,0.018366194911498823,457.4809593738164,0
13,US000000002972,2025-07-24,2025-08-07,2025-W30,24254.040462514524,97016.1618500581,-0.0047471136376956435,-115.13668624882465,0
14,US000000001168,2025-08-05,2025-08-19,2025-W32,24185.100594822325,96740.4023792893,-0.09512907555064343,-2300.7062616847643,2
15,US000000011798,2025-08-05,2025-08-19,2025-W32,24185.100594822325,96740.4023792893,-0.0570455040335206,-1379.6512535330385,2
16,US000000009526,2025-08-05,2025-08-19,2025-W32,24185.100594822325,96740.4023792893,-0.010383806519636885,-251.13340523458996,2
17,US000000002733,2025-08-08,2025-08-22,2025-W32,23607.06384756124,94428.25539024496,0.15990259740259738,3774.8308262739965,0
18,US000000001712,2025-08-28,2025-09-12,2025-W35,24186.09126740772,96744.36506963088,-0.06876123277640944,-1663.0654515897058,0
19,US000000001731,2025-10-17,2025-10-31,2025-W42,23770.324904510293,95081.29961804117,0.05010020040538454,1190.898041417069,0
20,US000000001651,2025-10-22,2025-11-05,2025-W43,23976.747231673027,95906.98892669211,-0.0010689031120421078,-25.62881973258229,1
21,US000000002292,2025-10-22,2025-11-05,2025-W43,23976.747231673027,95906.98892669211,-0.048311107562340805,-1158.3432145044128,1
22,US000000039540,2025-10-23,2025-11-06,2025-W43,23357.48025018483,96987.36923286575,-0.04416108465821955,-1031.4916627311036,0
23,US000000008669,2025-11-04,2025-11-18,2025-W45,23840.860222569525,95363.4408902781,-0.010850801477617411,-258.69244133072755,0
24,US000000001615,2025-11-06,2025-11-20,2025-W45,23544.2416248502,94176.9664994008,0.007196969697139233,169.44719351617107,1
25,US000000002363,2025-11-06,2025-11-20,2025-W45,23544.241624850198,94176.96649940079,-0.008904213398223115,-209.6429517269935,1
26,US000000005851,2025-11-07,2025-11-21,2025-W45,23079.647854167513,92318.59141667005,0.02947319563750983,680.2309764507131,0
27,US000000003024,2026-02-03,2026-02-18,2026-W06,23609.51918484983,94438.07673939932,0.051928902710319136,1226.01642478748,0
28,US000000001406,2026-02-04,2026-02-19,2026-W06,23580.403668308267,94321.61467323307,0.09601562499999994,2264.0871959649094,1
29,US000000011549,2026-02-04,2026-02-19,2026-W06,23580.40366830827,94321.61467323308,0.3435069327020628,8100.032135977043,1
30,US000000039935,2026-02-05,2026-02-20,2026-W06,23667.750217932942,95352.2496259496,0.02195652173913043,519.6614721763536,0
31,US000000002804,2026-02-25,2026-03-11,2026-W09,26636.968492076274,106547.8739683051,-0.1449697512883712,-3861.554697372477,0
32,US000000001712,2026-03-19,2026-04-02,2026-W12,25671.579817733156,102686.31927093262,0.07336981304149548,1883.5190117069103,0
33,US000000001954,2026-04-23,2026-05-07,2026-W17,26142.459570659885,104569.83828263954,0.054912138726834536,1435.5383666047387,0
34,US000000108620,2026-04-28,2026-05-12,2026-W18,26238.37608670186,104953.50434680744,-0.05197396052110259,-1363.7123228680848,0
35,US000000001101,2026-05-01,2026-05-15,2026-W18,25912.102740121285,103648.41096048514,0.019710971293747548,510.7527132711678,0
36,US000000002143,2026-05-05,2026-05-19,2026-W19,25753.645234504413,103014.58093801765,0.006921612736458416,178.25675886537732,0
37,US000000069257,2026-05-08,2026-05-22,2026-W19,26034.735281890757,104138.94112756303,0.00018231540565172288,4.746533323953135,0
38,US000000042687,2026-05-29,2026-06-12,2026-W22,26333.855082959173,105335.42033183669,0.08141535314083792,2143.9801111387706,0
