month,variant,ret,absolute_exposure,recession_trigger,sahm_gap,weight_AI/hyperscale,return_AI/hyperscale,capex_share_AI/hyperscale,price_target_AI/hyperscale,weight_clean_energy,return_clean_energy,capex_share_clean_energy,price_target_clean_energy,weight_crypto,return_crypto,capex_share_crypto,price_target_crypto
2014-01-31,equal_theme,,1.0,False,,0.3333333333333333,,0.8260904018946383,0.3333333333333333,0.3333333333333333,,0.17296519989573683,0.3333333333333333,0.3333333333333333,,0.0009443982096248809,0.3333333333333333
2014-02-28,equal_theme,0.07362863114400846,1.0,False,,0.3333333333333333,0.060238037405514255,0.8422595836597491,0.3333333333333333,0.3333333333333333,0.13336066430017868,0.15688385246817313,0.3333333333333333,0.3333333333333333,0.027287191726332427,0.0008565638720778035,0.3333333333333333
2014-03-31,equal_theme,-0.028957421350331893,1.0,False,,0.3333333333333333,0.044902634592262514,0.8502404422288637,0.3333333333333333,0.3333333333333333,-0.025370499975249206,0.14894645423037797,0.3333333333333333,0.3333333333333333,-0.10640439866800899,0.000813103540758332,0.3333333333333333
2014-04-30,equal_theme,-0.009445722813669028,1.0,False,,0.3333333333333333,-0.02060951545447498,0.8548895985869224,0.3333333333333333,0.3333333333333333,-0.06007187692274851,0.1444786557240006,0.3333333333333333,0.3333333333333333,0.052344223936216405,0.0006317456890770161,0.3333333333333333
2014-05-31,equal_theme,0.07307793351553199,1.0,False,,0.3333333333333333,0.037385269754730555,0.8477530769435964,0.3333333333333333,0.3333333333333333,0.01969749727461273,0.15164324494137574,0.3333333333333333,0.3333333333333333,0.16215103351725269,0.0006036781150278427,0.3333333333333333
2014-06-30,equal_theme,0.049148787841056064,1.0,False,,0.3333333333333333,0.06797583081245051,0.8536569081313111,0.3333333333333333,0.3333333333333333,0.08301361661094453,0.14576328787346043,0.3333333333333333,0.3333333333333333,-0.00354308390022684,0.0005798039952284153,0.3333333333333333
2014-07-31,equal_theme,-0.027640474822322292,1.0,False,,0.3333333333333333,-0.014750454634151255,0.8574667458233342,0.3333333333333333,0.3333333333333333,-0.0860204933714303,0.1420694552359947,0.3333333333333333,0.3333333333333333,0.017849523538614687,0.00046379894067113313,0.3333333333333333
2014-08-31,equal_theme,0.03575305744422489,1.0,False,,0.3333333333333333,0.059885151760063815,0.8572920143475157,0.3333333333333333,0.3333333333333333,0.07671797362228594,0.14223262833991265,0.3333333333333333,0.3333333333333333,-0.029343953049675076,0.0004753573125716272,0.3333333333333333
2014-09-30,equal_theme,-0.04661535185082649,1.0,False,,0.3333333333333333,-0.011416408666717115,0.8582042182435091,0.3333333333333333,0.3333333333333333,-0.07019888319181572,0.14127118685450504,0.3333333333333333,0.3333333333333333,-0.05823076369394664,0.0005245949019858704,0.3333333333333333
2014-10-31,equal_theme,0.0628143586815364,1.0,False,,0.3333333333333333,0.006459189665122045,0.8618992001335068,0.3333333333333333,0.3333333333333333,-0.047609510135340205,0.13739605254328185,0.3333333333333333,0.3333333333333333,0.22959339651482735,0.0007047473232113376,0.3333333333333333
2014-11-30,equal_theme,0.034410996082047396,1.0,False,,0.3333333333333333,0.08031894204480827,0.8612730077465627,0.3333333333333333,0.3333333333333333,-0.044589683286482995,0.13801625791602123,0.3333333333333333,0.3333333333333333,0.06750372948781691,0.00071073433741607,0.3333333333333333
2014-12-31,equal_theme,-0.030688864463147704,1.0,False,,0.3333333333333333,-0.005518642524726891,0.8550675164298281,0.3333333333333333,0.3333333333333333,-0.03216341610286688,0.1442674791019117,0.3333333333333333,0.3333333333333333,-0.054384534761849346,0.0006650044682601817,0.3333333333333333
2015-01-31,equal_theme,-0.009416719660051994,1.0,False,,0.3333333333333333,-0.034602709631190276,0.8559223252741052,0.6,0.3333333333333333,0.011278659025418414,0.1434165924404811,0.1,0.3333333333333333,-0.004926108374384119,0.0006610822854137301,0.3
2015-02-28,equal_theme,0.10522158809771548,1.0,False,0.0,0.3333333333333333,0.08040963398640488,0.8521610397024606,0.3,0.3333333333333333,0.13166602139585049,0.14698362477946558,0.1,0.3333333333333333,0.10358910891089113,0.0008553355180737874,0.6
2015-03-31,equal_theme,0.008091282842623351,1.0,False,0.0,0.3333333333333333,-0.029313673867233603,0.853897994950287,0.3,0.3333333333333333,0.10489401561031053,0.14529368756465325,0.1,0.3333333333333333,-0.05130649321520686,0.0008083174850597832,0.6
2015-04-30,equal_theme,0.04495191801824294,1.0,False,0.0,0.3333333333333333,0.0028933092228822233,0.8550448049486779,0.3,0.3333333333333333,0.0555394883923408,0.144153222356489,0.1,0.3333333333333333,0.07642295643950581,0.0008019726948330826,0.6
2015-05-31,equal_theme,-0.005622912924981665,1.0,False,0.03333333333333233,0.3333333333333333,0.07843490804236253,0.8603109212130557,0.6,0.3333333333333333,-0.06158961211491343,0.13870460463239376,0.1,0.3333333333333333,-0.03371403470239409,0.0009844741545504525,0.3
2015-06-30,equal_theme,-0.0652801545741401,1.0,False,0.0,0.3333333333333333,-0.08761076742995244,0.8617726853125169,0.3,0.3333333333333333,-0.07470315918597853,0.13725314247628045,0.1,0.3333333333333333,-0.03352653710648934,0.0009741722112026547,0.6
2015-07-31,equal_theme,0.025536560827652155,1.0,False,0.0,0.3333333333333333,-0.044346710647179766,0.8619321275817805,0.3,0.3333333333333333,-0.07759722869488744,0.13697998961344213,0.1,0.3333333333333333,0.19855362182502367,0.001087882804777349,0.6
2015-08-31,equal_theme,-0.06899822994145095,1.0,False,0.0,0.3333333333333333,-0.04985618408256265,0.857247617338617,0.3,0.3333333333333333,-0.13187483147149337,0.1416900834477855,0.1,0.3333333333333333,-0.025263674270296854,0.0010622992135975505,0.6
2015-09-30,equal_theme,-0.025308162503423715,1.0,False,0.0,0.3333333333333333,0.0066599394547197655,0.8581257222810856,0.3,0.3333333333333333,-0.07136147779538837,0.1408207413621261,0.1,0.3333333333333333,-0.011222949169602536,0.0010535363567882301,0.6
2015-10-31,equal_theme,0.02162397766115172,1.0,False,0.0,0.3333333333333333,0.08680834001470861,0.8480146335931152,0.3,0.3333333333333333,0.10225558156751469,0.1512528380585234,0.1,0.3333333333333333,-0.12419198859876812,0.0007325283483613157,0.6
2015-11-30,equal_theme,-0.01240009834468956,1.0,False,0.0,0.3333333333333333,0.02933038185014114,0.8491301504246599,0.6,0.3333333333333333,-0.07408574168341936,0.15020127335485284,0.1,0.3333333333333333,0.007555064799209532,0.0006685762204872659,0.3
2015-12-31,equal_theme,0.04060568986682751,1.0,False,0.0,0.3333333333333333,-0.02480495684429651,0.8489835666211791,0.3,0.3333333333333333,0.11247540361499309,0.15034563022799585,0.1,0.3333333333333333,0.03414662282978598,0.0006708031508250252,0.6
2016-01-31,equal_theme,-0.08372304525348537,1.0,False,0.0,0.3333333333333333,-0.06681681681631269,0.8529978784986597,0.3,0.3333333333333333,-0.1465364898404568,0.14634914960897874,0.1,0.3333333333333333,-0.03781582910368664,0.000652971892361561,0.6
2016-02-29,equal_theme,-0.03488396529227931,1.0,False,0.0,0.3333333333333333,0.014279967817455663,0.8482242408789428,0.6,0.3333333333333333,-0.05157344968930827,0.15130467574240042,0.1,0.3333333333333333,-0.06735841400498532,0.0004710833786568277,0.3
2016-03-31,equal_theme,0.08256150968660028,1.0,False,0.0,0.3333333333333333,0.09220701963077316,0.8463567981619968,0.3,0.3333333333333333,0.03844102487436296,0.15320633440950307,0.1,0.3333333333333333,0.11703648455466475,0.0004368674285000998,0.6
2016-04-30,equal_theme,-0.010562156502401904,1.0,False,0.10000000000000053,0.3333333333333333,-0.04756717501662178,0.8462424661825864,0.3,0.3333333333333333,0.018106389907368625,0.15355443642049693,0.1,0.3333333333333333,-0.0022256843979525653,0.00020309739691673178,0.6
2016-05-31,equal_theme,0.020272963399092202,1.0,False,0.06666666666666732,0.3333333333333333,0.08463591307702223,0.8426665861704838,0.3,0.3333333333333333,-0.06408023947577512,0.1571294403154935,0.1,0.3333333333333333,0.040263216596029494,0.00020397351402265317,0.6
2016-06-30,equal_theme,-0.023637434447702218,1.0,False,0.033333333333333215,0.3333333333333333,0.0019332161673699666,0.8406076518376844,0.6,0.3333333333333333,-0.011089327808964822,0.15918570536107177,0.1,0.3333333333333333,-0.06175619170151181,0.00020664280124385378,0.3
