id,rotation,floor,cap,step,cost_bps,capex_mode,benchmark,total,benchmark_total,excess_total,max_dd,benchmark_dd,dd_diff,positive_excess_months,rolling36_positive,rolling36_min_excess,bootstrap
A,price,0.1,0.5,0.1,50,normal,SPY,13.416781710461713,4.179257216372781,2.2520830505170797,-0.46354122039433465,-0.23927986806657908,-0.22426135232775557,0.5466666666666666,0.6347826086956522,-0.4234725264822514,"{'n': 2000, 'block': 12, 'excess_p025': -0.3384314555278694, 'excess_median': 3.009874990351496, 'excess_p975': 32.03576024156969, 'prob_excess_positive': 0.929, 'boot_active_maxdd_p025': -0.7038632919568503, 'boot_active_maxdd_median': -0.42312951657591363, 'boot_active_maxdd_p975': -0.22710497209300504}"
A,price,0.1,0.5,0.1,50,normal,static6040,13.416781710461713,0.5481735915114052,8.980757610795711,-0.46354122039433465,-0.06890481408750015,-0.3946364063068345,0.6133333333333333,0.991304347826087,-0.15006881439484754,"{'n': 2000, 'block': 12, 'excess_p025': 0.32364180667617465, 'excess_median': 10.846964778394586, 'excess_p975': 139.90087852110318, 'prob_excess_positive': 0.987, 'boot_active_maxdd_p025': -0.7024874970377406, 'boot_active_maxdd_median': -0.46338407765638906, 'boot_active_maxdd_p975': -0.2131425582439458}"
A,price,0.1,0.5,0.1,50,delay3,SPY,13.416781710461713,4.179257216372781,2.2520830505170797,-0.46354122039433465,-0.23927986806657908,-0.22426135232775557,0.5466666666666666,0.6347826086956522,-0.4234725264822514,"{'n': 2000, 'block': 12, 'excess_p025': -0.3384314555278694, 'excess_median': 3.009874990351496, 'excess_p975': 32.03576024156969, 'prob_excess_positive': 0.929, 'boot_active_maxdd_p025': -0.7038632919568503, 'boot_active_maxdd_median': -0.42312951657591363, 'boot_active_maxdd_p975': -0.22710497209300504}"
A,price,0.1,0.5,0.1,50,delay3,static6040,13.416781710461713,0.5481735915114052,8.980757610795711,-0.46354122039433465,-0.06890481408750015,-0.3946364063068345,0.6133333333333333,0.991304347826087,-0.15006881439484754,"{'n': 2000, 'block': 12, 'excess_p025': 0.32364180667617465, 'excess_median': 10.846964778394586, 'excess_p975': 139.90087852110318, 'prob_excess_positive': 0.987, 'boot_active_maxdd_p025': -0.7024874970377406, 'boot_active_maxdd_median': -0.46338407765638906, 'boot_active_maxdd_p975': -0.2131425582439458}"
A,price,0.1,0.5,0.1,50,delay6,SPY,13.416781710461713,4.179257216372781,2.2520830505170797,-0.46354122039433465,-0.23927986806657908,-0.22426135232775557,0.5466666666666666,0.6347826086956522,-0.4234725264822514,"{'n': 2000, 'block': 12, 'excess_p025': -0.3384314555278694, 'excess_median': 3.009874990351496, 'excess_p975': 32.03576024156969, 'prob_excess_positive': 0.929, 'boot_active_maxdd_p025': -0.7038632919568503, 'boot_active_maxdd_median': -0.42312951657591363, 'boot_active_maxdd_p975': -0.22710497209300504}"
A,price,0.1,0.5,0.1,50,delay6,static6040,13.416781710461713,0.5481735915114052,8.980757610795711,-0.46354122039433465,-0.06890481408750015,-0.3946364063068345,0.6133333333333333,0.991304347826087,-0.15006881439484754,"{'n': 2000, 'block': 12, 'excess_p025': 0.32364180667617465, 'excess_median': 10.846964778394586, 'excess_p975': 139.90087852110318, 'prob_excess_positive': 0.987, 'boot_active_maxdd_p025': -0.7024874970377406, 'boot_active_maxdd_median': -0.46338407765638906, 'boot_active_maxdd_p975': -0.2131425582439458}"
A,price,0.1,0.5,0.1,50,delay12,SPY,13.416781710461713,4.179257216372781,2.2520830505170797,-0.46354122039433465,-0.23927986806657908,-0.22426135232775557,0.5466666666666666,0.6347826086956522,-0.4234725264822514,"{'n': 2000, 'block': 12, 'excess_p025': -0.3384314555278694, 'excess_median': 3.009874990351496, 'excess_p975': 32.03576024156969, 'prob_excess_positive': 0.929, 'boot_active_maxdd_p025': -0.7038632919568503, 'boot_active_maxdd_median': -0.42312951657591363, 'boot_active_maxdd_p975': -0.22710497209300504}"
A,price,0.1,0.5,0.1,50,delay12,static6040,13.416781710461713,0.5481735915114052,8.980757610795711,-0.46354122039433465,-0.06890481408750015,-0.3946364063068345,0.6133333333333333,0.991304347826087,-0.15006881439484754,"{'n': 2000, 'block': 12, 'excess_p025': 0.32364180667617465, 'excess_median': 10.846964778394586, 'excess_p975': 139.90087852110318, 'prob_excess_positive': 0.987, 'boot_active_maxdd_p025': -0.7024874970377406, 'boot_active_maxdd_median': -0.46338407765638906, 'boot_active_maxdd_p975': -0.2131425582439458}"
A,price,0.1,0.5,0.1,50,missing,SPY,13.416781710461713,4.179257216372781,2.2520830505170797,-0.46354122039433465,-0.23927986806657908,-0.22426135232775557,0.5466666666666666,0.6347826086956522,-0.4234725264822514,"{'n': 2000, 'block': 12, 'excess_p025': -0.3384314555278694, 'excess_median': 3.009874990351496, 'excess_p975': 32.03576024156969, 'prob_excess_positive': 0.929, 'boot_active_maxdd_p025': -0.7038632919568503, 'boot_active_maxdd_median': -0.42312951657591363, 'boot_active_maxdd_p975': -0.22710497209300504}"
A,price,0.1,0.5,0.1,50,missing,static6040,13.416781710461713,0.5481735915114052,8.980757610795711,-0.46354122039433465,-0.06890481408750015,-0.3946364063068345,0.6133333333333333,0.991304347826087,-0.15006881439484754,"{'n': 2000, 'block': 12, 'excess_p025': 0.32364180667617465, 'excess_median': 10.846964778394586, 'excess_p975': 139.90087852110318, 'prob_excess_positive': 0.987, 'boot_active_maxdd_p025': -0.7024874970377406, 'boot_active_maxdd_median': -0.46338407765638906, 'boot_active_maxdd_p975': -0.2131425582439458}"
