month,theme,companies_available,companies_with_sell,companies_with_buy,seller_count,buyer_count,sell_transaction_count,sell_insider_count,sell_dollars,buy_dollars,net_dollars,baseline_companies,unusual_seller_companies,median_company_sell_percentile,cluster_warning_candidate,insider_coverage_ok,insider_source_companies,news_companies_available,negative_days,positive_days,negative_company_days,positive_company_days,operational_days,raw_articles,raw_company_days,raw_text_articles,negative_categories,positive_categories,negative_companies,positive_companies,negative_company_day_rate,text_coverage_rate,baseline_news_companies,unusual_negative_companies,median_negative_percentile,news_coverage_ok,news_warning_candidate,news_cache_symbols_present,news_source_companies,source_provenance_available
2015-10-31,clean_energy,6,4,1,7,2,4,7,18898283.246,404400.0,-18493883.246,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-10-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-11-30,AI/hyperscale,7,6,0,22,0,6,22,1728915260.8435001,0.0,-1728915260.8435001,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-11-30,clean_energy,6,3,1,12,1,3,12,27640484.5668,379200.0,-27261284.5668,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-11-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2015-12-31,AI/hyperscale,7,6,0,21,0,6,21,1566146706.239,0.0,-1566146706.239,0,0,,False,False,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2015-12-31,clean_energy,6,4,1,16,1,4,16,34859118.754300006,96573.8,-34762544.95430001,0,0,,False,False,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2015-12-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-01-31,AI/hyperscale,7,5,0,15,0,5,15,1071750981.9808,0.0,-1071750981.9808,4,1,0.7916666666666667,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-01-31,clean_energy,6,4,1,17,1,4,17,35805514.56430001,96573.8,-35708940.76430001,4,1,0.4583333333333333,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-01-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-02-29,AI/hyperscale,7,5,0,23,0,5,23,494431040.9895,0.0,-494431040.9895,4,1,0.38461538461538464,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-02-29,clean_energy,6,4,2,15,3,4,15,19923150.329500005,816073.8,-19107076.529500004,4,0,0.5,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-02-29,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-03-31,AI/hyperscale,7,5,0,25,0,5,25,666914574.9433,0.0,-666914574.9433,4,1,0.6071428571428572,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-03-31,clean_energy,6,4,1,22,2,4,22,22532441.746,719500.0,-21812941.746,4,0,0.75,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-03-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-04-30,AI/hyperscale,7,5,0,31,0,5,31,820207803.6455001,0.0,-820207803.6455001,4,2,0.8333333333333333,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-04-30,clean_energy,6,4,1,23,2,4,23,23862308.635999996,719500.0,-23142808.635999996,4,0,0.7,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-04-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-05-31,AI/hyperscale,7,6,0,35,0,6,35,1354222324.104,0.0,-1354222324.104,4,2,0.75,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-05-31,clean_energy,6,5,0,23,0,5,23,19618392.28,0.0,-19618392.28,4,0,0.71875,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-05-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-06-30,AI/hyperscale,7,6,0,32,0,6,32,1677253600.7742002,0.0,-1677253600.7742002,4,2,0.7352941176470589,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-06-30,clean_energy,6,4,0,15,0,5,15,12051733.301,0.0,-12051733.301,4,0,0.5294117647058824,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-06-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-07-31,AI/hyperscale,7,6,0,27,0,6,27,2707925620.683,0.0,-2707925620.683,4,3,0.9444444444444444,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-07-31,clean_energy,6,4,0,12,0,5,12,10691484.1033,0.0,-10691484.1033,4,0,0.3611111111111111,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-07-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-08-31,AI/hyperscale,7,6,0,27,0,6,27,2821249254.0551996,0.0,-2821249254.0551996,4,2,0.7894736842105263,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-08-31,clean_energy,6,4,0,18,0,6,18,31068787.448400002,0.0,-31068787.448400002,4,1,0.4473684210526315,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-08-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-09-30,AI/hyperscale,7,6,0,25,0,6,25,2331430777.6239,0.0,-2331430777.6239,4,2,0.7,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-09-30,clean_energy,6,3,1,14,1,4,14,28333682.6034,720000.0,-27613682.6034,4,1,0.25,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-09-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-10-31,AI/hyperscale,7,6,0,25,0,6,25,1364574336.286,0.0,-1364574336.286,4,1,0.5238095238095238,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-10-31,clean_energy,6,2,1,14,1,4,14,27646321.711100005,720000.0,-26926321.711100005,4,1,0.5,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-10-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-11-30,AI/hyperscale,7,5,0,19,0,5,19,556147167.1489999,0.0,-556147167.1489999,4,1,0.34090909090909094,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-11-30,clean_energy,6,2,2,7,2,4,7,3983825.9950000006,842900.0,-3140925.9950000006,4,0,0.4090909090909091,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-11-30,crypto,5,2,1,3,1,2,3,903112.3999999999,159666.94999999998,-743445.45,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2016-12-31,AI/hyperscale,7,5,0,25,0,5,25,1789397231.2079656,0.0,-1789397231.2079656,4,2,0.7826086956521738,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2016-12-31,clean_energy,6,2,1,8,2,4,8,3793727.8150000004,214866.64,-3578861.1750000003,4,0,0.391304347826087,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2016-12-31,crypto,5,2,1,4,1,2,4,1069436.4,309924.3,-759512.0999999999,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-01-31,AI/hyperscale,7,5,0,22,0,5,22,1494716370.5618658,0.0,-1494716370.5618658,4,1,0.4791666666666667,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-01-31,clean_energy,6,1,1,8,2,4,8,3766293.7150000003,91966.64,-3674327.075,4,0,0.375,False,True,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,6,6,False
2017-01-31,crypto,5,2,1,4,1,2,4,1069436.4,326804.3,-742632.0999999999,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-02-28,AI/hyperscale,7,5,0,23,0,5,23,3211728354.0210657,0.0,-3211728354.0210657,4,2,0.86,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-02-28,clean_energy,6,2,1,6,3,4,6,4024536.42,589381.68,-3435154.7399999998,4,0,0.3,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-02-28,crypto,5,1,1,1,1,1,1,166324.0,167137.35,813.3500000000058,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-03-31,AI/hyperscale,7,5,0,29,0,5,29,2289851821.7121,0.0,-2289851821.7121,5,2,0.7692307692307693,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-03-31,clean_energy,6,3,1,8,2,3,8,10223268.6542,497415.04000000004,-9725853.6142,4,0,0.1346153846153846,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-03-31,crypto,5,0,0,0,1,0,0,0.0,16880.0,16880.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-04-30,AI/hyperscale,7,5,0,30,0,5,30,2120040480.6486998,0.0,-2120040480.6486998,5,2,0.8888888888888888,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-04-30,clean_energy,6,3,1,8,1,3,8,11277514.214200001,497415.04000000004,-10780099.174200002,4,0,0.12962962962962962,False,True,6,6,0,0,0,0,0,2,2,2,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-04-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-05-31,AI/hyperscale,7,5,0,34,1,5,34,2427367319.6569,12960.318800000001,-2427354359.3381,5,3,1.0,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-05-31,clean_energy,6,3,1,10,1,3,10,16446287.1382,147542.0,-16298745.1382,4,1,0.10714285714285714,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-05-31,crypto,5,1,0,1,0,1,1,153950.655,0.0,-153950.655,1,0,0.0,False,False,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-06-30,AI/hyperscale,7,5,0,29,2,5,29,2172889064.2835,12960.318800000001,-2172876103.9647,5,2,0.6896551724137931,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-06-30,clean_energy,6,3,1,12,1,4,12,11363100.743700001,147542.0,-11215558.743700001,5,0,0.3103448275862069,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-06-30,crypto,5,2,0,2,0,2,2,594444.655,0.0,-594444.655,2,0,0.3793103448275862,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-07-31,AI/hyperscale,7,5,0,30,2,5,30,2202490307.5392,12960.318800000001,-2202477347.2204,5,2,0.7333333333333333,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-07-31,clean_energy,6,3,1,11,1,4,11,10917936.822900001,147542.0,-10770394.822900001,5,0,0.3,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-07-31,crypto,5,2,0,2,0,2,2,594444.655,0.0,-594444.655,2,0,0.36666666666666664,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-08-31,AI/hyperscale,7,5,0,23,1,5,23,703260409.665,0.0,-703260409.665,5,1,0.5483870967741935,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-08-31,clean_energy,6,4,0,18,0,5,18,16626374.7589,0.0,-16626374.7589,5,0,0.41935483870967744,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-08-31,crypto,5,1,0,1,0,1,1,440494.0,0.0,-440494.0,2,0,0.3548387096774194,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-09-30,AI/hyperscale,7,5,0,25,0,5,25,700412594.6881,0.0,-700412594.6881,5,1,0.53125,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-09-30,clean_energy,6,4,1,20,1,5,20,20826296.017899998,440442.0,-20385854.017899998,5,0,0.71875,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-09-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,2,0,0.0,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-10-31,AI/hyperscale,7,5,0,24,0,5,24,648759564.6591,0.0,-648759564.6591,5,1,0.45454545454545453,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-10-31,clean_energy,6,3,1,17,1,5,17,20938431.7187,440442.0,-20497989.7187,5,1,0.45454545454545453,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-10-31,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,2,0,0.0,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-11-30,AI/hyperscale,7,5,0,25,0,5,25,1243575958.4047,0.0,-1243575958.4047,5,2,0.38235294117647056,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-11-30,clean_energy,6,3,2,13,2,4,13,18325288.5927,512847.06,-17812441.532700002,5,0,0.8529411764705882,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-11-30,crypto,5,0,0,0,0,0,0,0.0,0.0,0.0,2,0,0.0,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2017-12-31,AI/hyperscale,7,5,0,22,0,5,22,1169424257.9305,0.0,-1169424257.9305,5,1,0.3142857142857143,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2017-12-31,clean_energy,6,4,1,14,1,4,14,24129508.917999998,72405.06,-24057103.858,5,2,0.8285714285714286,True,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,0,0,,False,False,6,6,False
2017-12-31,crypto,5,1,0,1,0,1,1,869256.35,0.0,-869256.35,2,0,0.5,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2018-01-31,AI/hyperscale,7,5,0,23,0,5,23,1489456561.8387,0.0,-1489456561.8387,5,2,0.3333333333333333,True,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2018-01-31,clean_energy,6,4,1,14,1,4,14,22075898.994000003,72405.06,-22003493.934000004,5,0,0.8055555555555556,False,True,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,6,6,False
2018-01-31,crypto,5,1,0,1,0,1,1,869256.35,0.0,-869256.35,2,0,0.4861111111111111,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2018-02-28,AI/hyperscale,7,5,0,22,0,5,22,429657927.59,0.0,-429657927.59,5,1,0.35135135135135137,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2018-02-28,clean_energy,6,4,1,15,1,4,15,35393110.79799999,187980.0,-35205130.79799999,5,1,0.7297297297297297,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,1,0,0.0,False,False,6,6,False
2018-02-28,crypto,5,2,0,2,0,2,2,959256.35,0.0,-959256.35,2,0,0.47297297297297297,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
2018-03-31,AI/hyperscale,7,5,0,22,0,5,22,449213220.1697,0.0,-449213220.1697,5,1,0.5263157894736842,False,True,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,7,7,False
2018-03-31,clean_energy,6,4,2,23,2,4,23,43742245.7986,320780.0,-43421465.7986,5,1,0.8421052631578947,False,True,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0.0,1.0,1,0,0.0,False,False,6,6,False
2018-03-31,crypto,5,1,0,1,0,1,1,90000.0,0.0,-90000.0,2,0,0.0,False,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,False,False,5,5,False
