gamma,min_child_weight,max_depth,n_estimators,auc_train,auc_val,ap_train,ap_val,train_s,a_n,a_avg_pnl_pct,a_hit_pct,a_sharpe,a_recall_pct,b_n,b_avg_pnl_pct,b_hit_pct,b_sharpe,b_recall_pct,c_n,c_avg_pnl_pct,c_hit_pct,c_sharpe,c_recall_pct
10,50,3,300,0.682818638885639,0.6377823523590777,0.2251117856423557,0.2026904910229531,0.3712427616119385,156,1.7544001817240715,58.333333333333336,1.6906387100157985,11.659192825112108,78,2.496009701157284,58.97435897435898,2.385089426312574,8.520179372197308,23,2.6597178145542655,60.86956521739131,1.9060969710014386,2.4663677130044843
10,50,2,300,0.6765551702024059,0.6400668218725749,0.22415892736969917,0.20476002546584304,0.3748633861541748,137,1.7034113697370106,59.12408759124088,1.6129723388219648,9.865470852017937,65,2.381347447347977,58.46153846153847,2.2575384569076777,6.950672645739911,17,2.741383851150951,52.94117647058824,1.6879735503438718,2.0179372197309418
5,50,2,200,0.6930534727660131,0.6444619354905912,0.23868676681615103,0.2089682551566369,0.23202776908874512,195,1.5641340684721914,54.871794871794876,1.3292046330071752,13.901345291479823,88,2.255271150420126,55.68181818181818,1.867285322915353,9.192825112107624,32,1.3494352124859275,53.125,1.0518646774023641,3.3632286995515694
10,50,3,500,0.6834427677752636,0.6398900668218725,0.22571708862830986,0.20374216024958577,0.604745626449585,169,1.2089098034306844,55.02958579881657,1.1389229192570605,12.10762331838565,81,2.171823466737424,56.79012345679012,2.0215512374931217,8.520179372197308,25,1.9361035406818339,56.00000000000001,1.3968579127500813,2.690582959641256
10,50,2,500,0.6776592441953889,0.6417201163523486,0.22463820781158034,0.20592001986994013,0.635596513748169,155,1.3012459980945608,56.774193548387096,1.2212018760029841,10.31390134529148,73,2.1673196417542138,57.534246575342465,2.033961491172847,7.399103139013453,22,2.0067017360498562,54.54545454545454,1.364949509138574,2.242152466367713
10,50,2,200,0.6750073791028661,0.6396169591100139,0.22270449079768923,0.204839353823637,0.31342506408691406,124,1.494444271785677,58.06451612903226,1.394039841362779,9.192825112107624,57,2.082403370575132,57.89473684210527,1.9426054612294896,6.278026905829597,19,2.4958708785728536,52.63157894736842,1.6255328281543937,2.0179372197309418
10,50,3,200,0.6816593733296892,0.6370160882902871,0.22434962680711545,0.20259460954356653,0.2551078796386719,141,1.4534971372002647,56.73758865248227,1.4307048217811882,10.089686098654708,69,1.9392222971992883,56.52173913043478,1.928030726209376,7.174887892376682,18,0.5935322006772535,50.0,0.530751497590598,1.7937219730941705
5,100,2,500,0.6912203786062331,0.6480725561579768,0.2328785272945855,0.20655031431937398,0.5860629081726074,237,1.0323226944019637,55.69620253164557,0.9859034139000121,15.022421524663676,114,1.8622882244158812,59.64912280701754,1.7144755820724606,10.31390134529148,35,1.5255313181503714,54.285714285714285,1.2299584161723376,3.587443946188341
5,100,3,300,0.6960952287788895,0.6470006328026124,0.23682137901454142,0.2048437391600711,0.34215307235717773,253,1.0528431731791366,56.916996047430835,1.0173851929208397,16.367713004484305,123,1.855600870412532,60.97560975609756,1.747834344917724,11.434977578475337,45,0.5320211043841243,46.666666666666664,0.4566043470200602,4.260089686098654
5,100,4,500,0.7049080075888248,0.6455582725269917,0.24435855119008018,0.20358542767499316,0.5517129898071289,270,1.0259825109941845,55.925925925925924,1.0001512455920822,17.040358744394617,131,1.8416628623427485,59.541984732824424,1.7315053392669741,11.883408071748878,47,0.9898063295588821,51.06382978723404,0.8578207069888609,4.708520179372197
