trade_id,permaTicker,entry_date,exit_date,calendar_week_group,allocated_dollars,entry_nav,realized_arith_pct,pnl_dollars,fold
0,US000000007456,2024-08-28,2024-09-12,2024-W35,25000.0,100000.0,-0.023058438890796285,-576.4609722699071,1
1,US000000071395,2024-09-26,2024-10-10,2024-W39,24855.884756932523,99423.53902773009,0.06695975651155073,1664.3439912033668,1
2,US000000000957,2024-10-23,2024-11-06,2024-W43,25271.970754733364,101087.88301893345,0.00367857142857142,92.96474956205465,1
3,US000000039462,2024-10-25,2024-11-08,2024-W43,25125.077424721476,100500.3096988859,0.02631223856432685,661.0970311464544,1
4,US000000006207,2024-11-05,2024-11-19,2024-W45,24679.375284651564,98717.50113860625,-0.08863835819887933,-2187.539306605515,1
5,US000000069257,2024-11-08,2024-11-22,2024-W45,25638.45942761821,102553.83771047284,0.03475046210720878,890.9483128266563,1
0,US000000002214,2025-01-31,2025-02-14,2025-W05,25000.0,100000.0,-0.07424749163750122,-1856.1872909375304,2
1,US000000101040,2025-02-04,2025-02-19,2025-W06,24550.585284278764,98202.34113711506,0.10199676200755525,2504.0802043867693,2
2,US000000002413,2025-02-07,2025-02-24,2025-W06,25676.11789930366,102704.47159721464,0.011213124623720816,287.90950985824065,2
3,US000000002276,2025-04-29,2025-05-13,2025-W18,25233.950605826867,100935.80242330747,0.04074746950528141,1028.2196328087075,2
4,US000000002569,2025-05-01,2025-05-15,2025-W18,25211.028512102806,100844.11404841123,-0.02414231257941557,-608.6525307877442,2
5,US000000009642,2025-05-02,2025-05-16,2025-W18,25418.69790816868,101674.79163267472,0.06936170212765957,1763.0841527793596,2
0,US000000001954,2025-07-25,2025-08-08,2025-W30,25000.0,100000.0,0.00016534391430389483,4.133597857597371,3
1,US000000000441,2025-07-29,2025-08-12,2025-W31,25141.575727509306,100566.30291003722,-0.08059023836835322,-2026.1655808359783,3
2,US000000009308,2025-08-06,2025-08-20,2025-W32,24571.811242045813,98287.24496818325,0.0521461253537816,1281.324749197181,3
3,US000000000957,2025-10-22,2025-11-05,2025-W43,24814.8231915547,99259.2927662188,-0.09386790079983898,-2329.3153617104003,3
4,US000000002921,2025-10-23,2025-11-06,2025-W43,24681.56787812352,98726.27151249407,0.10542476970164594,2602.048609426714,3
5,US000000009038,2025-11-04,2025-11-18,2025-W45,25016.052117718216,100064.20847087287,-0.04782928623988225,-1196.4999173301571,3
6,US000000081334,2025-11-19,2025-12-04,2025-W47,24583.881524151242,98335.52609660497,0.2298039215686274,5649.47238162848,3
0,US000000002863,2026-01-28,2026-02-11,2026-W05,25000.0,100000.0,0.09015920151810475,2253.9800379526187,4
1,US000000008482,2026-02-04,2026-02-19,2026-W06,25346.964447747432,101387.85779098973,0.03464750945447115,878.2091903454732,4
2,US000000000548,2026-02-06,2026-02-23,2026-W06,25668.20221590782,102672.80886363128,0.14682591198294737,3768.757199313376,4
3,US000000006207,2026-02-06,2026-02-23,2026-W06,23984.833336344745,102672.80886363129,-0.04325740138106193,-1037.5215626881395,4
4,US000000001239,2026-03-10,2026-03-24,2026-W11,26465.85621623083,105863.42486492332,0.058400663573973555,1545.6235650812534,4
5,US000000096276,2026-05-01,2026-05-15,2026-W18,26852.26210750114,107409.04843000456,0.06791165838657576,1823.5816511514104,4
6,US000000009038,2026-05-05,2026-05-19,2026-W19,26796.151563147712,107184.60625259085,0.019196062346185316,514.3805960440146,4
7,US000000089893,2026-05-06,2026-05-20,2026-W19,27016.238522054206,108064.95408821682,0.07283752191687887,1967.7958654617503,4
8,US000000001673,2026-05-08,2026-05-22,2026-W19,26744.39623730151,108761.500368228,0.009587217045008867,256.40433146472805,4
9,US000000094020,2026-05-29,2026-06-12,2026-W22,27992.802718531617,111971.21087412647,-0.014018691588784882,-392.42246801679374,4
