fold,test_slice,n_trades,n_wins,n_losses,hit_rate_pct,avg_win_pct,avg_loss_pct,best_pct,worst_pct,mean_pct,sharpe,irr_pct,max_dd_pct
1,2024-06-30->2024-12-31,6,4,2,66.66666666666666,3.2925257152914447,-5.584839854483781,6.695975651155073,-8.863835819887933,0.33340385869970274,0.23474454685266816,2.2351913636839082,-4.296715627669245
2,2024-12-31->2025-06-30,6,4,2,66.66666666666666,5.582976456605427,-4.919490210845839,10.199676200755526,-7.424749163750121,2.082154234121671,1.3095870703016106,11.023731804639958,-3.149327675593794
3,2025-06-30->2025-12-31,7,4,3,57.14285714285714,9.68850401345897,-7.409580846935815,22.980392156862738,-9.386790079983898,2.3607533590040624,0.9720806333586796,11.16935731085189,-4.218024591124703
4,2025-12-31->2026-06-30,10,8,2,80.0,6.2445718278018205,-2.8638046484923407,14.682591198294737,-4.325740138106193,4.422896532542988,2.4138702959714036,33.726218602052626,-5.641592920353988
