fold,test_slice,n_picks,n_trades_executed,irr_pct,sharpe,max_drawdown_pct,hit_rate_pct,avg_trade_pnl_pct,mean_arith_pnl_pct,hit_pct_per_pick,frac_random_exceeded_sharpe,frac_random_exceeded_irr,auc_test,ap_test,selected_gamma,theta
1,2024-06-30->2024-12-31,45,20,8.629805103639022,0.4377077508394586,-7.5957540349117725,60.0,0.7263891669634215,1.5582696486390637,64.44444444444444,0.72,0.74,0.6478443009251178,0.24161058966136684,10,0.1
1,2024-06-30->2024-12-31,19,14,-1.335009723291758,-0.08806021204726118,-8.081183541630587,64.28571428571429,-0.04759665187736771,-0.9769915662250106,47.368421052631575,0.51,0.51,0.6478443009251178,0.24161058966136684,10,0.15
1,2024-06-30->2024-12-31,9,7,17.179010820839412,1.3117492844111573,-4.360749448847601,71.42857142857143,1.5059414430374412,0.15653116457582145,55.55555555555556,0.9,0.89,0.6478443009251178,0.24161058966136684,10,0.2
1,2024-06-30->2024-12-31,2,2,15.495601457746755,1.214294431341645,-2.4386627413179762,100.0,1.4995404996449135,1.5173403704909807,100.0,0.89,0.86,0.6478443009251178,0.24161058966136684,10,0.25
2,2024-12-31->2025-06-30,51,21,-3.6270930000401713,-0.20867314484643346,-15.899286213842379,57.14285714285714,-0.21047288303687237,0.09176810947826954,54.90196078431373,0.31999999999999995,0.32999999999999996,0.5848426968758919,0.14632933517726682,5,0.1
2,2024-12-31->2025-06-30,15,11,14.309125989641846,1.2003844882562353,-5.844381318291414,63.63636363636363,1.9904767543630524,2.164878913390977,66.66666666666666,0.9,0.72,0.5848426968758919,0.14632933517726682,5,0.15
2,2024-12-31->2025-06-30,6,6,11.023731804639958,1.3095870703016106,-3.149327675593794,66.66666666666666,2.082154234121671,2.2776273070548023,66.66666666666666,0.92,0.61,0.5848426968758919,0.14632933517726682,5,0.2
2,2024-12-31->2025-06-30,1,1,26.136090066160445,2.73643199957035,-1.100679831669793,100.0,4.074746950528141,4.158903933536065,100.0,1.0,0.88,0.5848426968758919,0.14632933517726682,5,0.25
3,2025-06-30->2025-12-31,51,22,58.86382267727379,2.536052552924801,-6.42879006675755,54.54545454545454,4.015740439880191,3.115157987654567,54.90196078431373,0.97,1.0,0.6377332012547465,0.2595052966833442,3,0.1
3,2025-06-30->2025-12-31,20,14,22.238715968723,1.4046010432259028,-7.215575055590662,42.857142857142854,2.3573143764119524,3.0415773949433973,50.0,0.91,0.91,0.6377332012547465,0.2595052966833442,3,0.15
3,2025-06-30->2025-12-31,7,7,20.906104053081908,1.5177324222525965,-4.218024591124692,71.42857142857143,4.124055377344409,4.731555728413898,71.42857142857143,0.91,0.91,0.6377332012547465,0.2595052966833442,3,0.2
3,2025-06-30->2025-12-31,0,0,,,,,,,,,,0.6377332012547465,0.2595052966833442,3,0.25
4,2025-12-31->2026-06-30,50,23,49.93351855747099,2.3086828186611825,-6.537947579984249,60.86956521739131,3.418157771069568,1.8623293582815812,54.0,0.96,0.96,0.644164198053322,0.21827533958840145,3,0.1
4,2025-12-31->2026-06-30,19,13,22.2464865716804,1.5396219083399134,-6.629365476816984,61.53846153846154,2.4977805815223486,2.845606673598274,63.1578947368421,0.89,0.83,0.644164198053322,0.21827533958840145,3,0.15
4,2025-12-31->2026-06-30,10,9,13.180535406283699,1.1034478308917852,-4.506187470697009,66.66666666666666,1.6176163876182987,1.8505772144558972,70.0,0.8200000000000001,0.69,0.644164198053322,0.21827533958840145,3,0.2
4,2025-12-31->2026-06-30,6,6,21.731581346529016,2.0302292416569396,-3.5555824031611616,83.33333333333334,3.8571607561088053,4.227924712922177,83.33333333333334,0.95,0.8200000000000001,0.644164198053322,0.21827533958840145,3,0.25
