fold,gamma,auc_test,n_picks,n_pead_picks,n_total_pead,precision,recall,f1,n_pead_missed,avg_pnl_all,hit_all,avg_pnl_pead,hit_pead,base_rate
1,3,0.6385576992557267,23,9,105,0.391304347826087,0.08571428571428572,0.14062500000000003,96,3.2552174702806447,73.91304347826086,4.374781975402924,77.77777777777779,0.13743455497382198
2,3,0.6242080176706516,25,7,73,0.28,0.0958904109589041,0.14285714285714285,66,-0.5732915215308569,52.0,0.7097540139507972,71.42857142857143,0.09358974358974359
3,5,0.6201455283864963,13,5,106,0.38461538461538464,0.04716981132075472,0.08403361344537816,101,2.4032154128861953,61.53846153846154,5.923863900701859,80.0,0.1367741935483871
4,3,0.6659382489778655,19,7,82,0.3684210526315789,0.08536585365853659,0.13861386138613863,75,5.761189079690497,63.1578947368421,16.0034129308255,85.71428571428571,0.10594315245478036
