fold,rule,test_slice,sel_gamma,n_trades_executed,irr_pct,sharpe_liq_annualized,max_drawdown_pct,hit_rate_pct,avg_trade_pnl_pct,mean_arith_pnl_pct,frac_random_exceeded_sharpe,frac_random_exceeded_irr
1,POS_only,2024-06-30->2024-12-31,3,18,16.888575209711387,1.0710980349830153,-7.113293007345689,66.66666666666666,1.684837321818227,2.245139510049379,0.89,0.89
1,NEG_only,2024-06-30->2024-12-31,3,15,-3.4874937943932927,-0.23493503673225907,-8.081183541630587,60.0,-0.2778189483294032,-1.1001598601120035,0.44999999999999996,0.43999999999999995
2,POS_only,2024-12-31->2025-06-30,20,9,-10.722431363543484,-1.7169421708427428,-6.584880102813551,44.44444444444444,-2.1414231940794877,-1.9778708132459668,0.010000000000000009,0.18999999999999995
2,NEG_only,2024-12-31->2025-06-30,20,10,-11.80267033440715,-1.1618700830752644,-8.28238991477448,50.0,-1.5173008533726307,-1.107354612607182,0.050000000000000044,0.16000000000000003
3,POS_only,2025-06-30->2025-12-31,5,15,4.950076622266986,0.27350543963406854,-10.585267752719796,40.0,0.6565581169051579,-0.9317021486389807,0.61,0.63
3,NEG_only,2025-06-30->2025-12-31,5,15,3.8362769260888108,0.22175653404498397,-8.25370260901268,40.0,0.553092516330976,3.5012905238686782,0.6,0.61
4,POS_only,2025-12-31->2026-06-30,10,14,39.28030873151296,1.6418017987126503,-8.847031502164382,71.42857142857143,3.897819768832961,1.9953907606737327,0.94,0.95
4,NEG_only,2025-12-31->2026-06-30,10,11,28.686142263571202,2.5422306955673313,-2.5772259862494096,72.72727272727273,3.650690360772631,3.549413774999581,0.97,0.86
